ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,-1946.6022,-5.4051104,-299.96088,-164
2,2,-60.565212,-157.53677,750.31537,0
3,2,-21.861097,-157.53676,915.4222,0
4,2,120.36432,-157.53676,516.06433,0
5,2,297.75375,-157.53674,546.53314,0
6,2,-26.382938,-90.88583,1569.3912,0
7,2,240.63065,-90.88583,1272.2548,0
8,2,655.2385,-90.88583,1146.5082,0
9,2,892.5468,-56.00409,380.47794,0
10,2,926.682,-56.00409,84.336815,0
11,2,736.9104,-56.00409,-172.64865,0
12,2,556.7822,-56.00409,-402.27216,0
13,2,902.9714,-56.004086,-632.5661,0
14,2,888.5954,-56.00409,-306.83383,0
15,2,645.921,-56.00409,-587.19366,0
16,2,-1451.634,-21.701387,-370.78415,0
17,2,-1432.7053,-21.368427,-246.28131,0
18,2,-858.32776,-79.45325,1.7713919,0
19,2,-736.0271,-79.45325,138.19376,0
20,2,-1080.1166,-79.45325,284.548,0
21,2,-1423.4937,-79.45325,317.31366,0
22,2,-1445.7013,-28.658234,889.3835,0
23,2,-1345.4481,-28.658234,1146.6376,0
24,2,-1578.199,-28.658234,1069.4487,0
25,2,-1370.8083,-28.658234,1027.787,0
26,2,-710.02515,-101.81201,512.9928,0
27,2,-892.5672,-101.81201,720.0575,0
28,2,-57.532852,-135.17798,-226.20467,0
29,2,-357.3192,-115.84406,-85.448654,0
30,2,-34.2727,-135.17798,-493.19327,0
31,2,28.17841,-135.17798,-745.27136,0
32,2,139.34515,-135.17798,-551.7704,0
33,2,-128.39449,-136.94545,-531.3168,0
34,3,-92.09073,-157.53677,534.99133,0
35,3,328.15408,-157.53674,810.2817,0
36,3,-128.42532,-157.53677,818.19635,0
37,3,375.50574,-157.5367,715.36414,0
38,3,-34.28263,-135.17798,-140.39651,0
39,3,-197.72478,-135.17798,-194.17358,0
40,3,-67.52289,-135.17798,-388.68948,0
41,3,88.67889,-135.17798,-304.2253,0
42,3,25.96162,-135.17798,64.350784,0
43,3,14.242869,-149.47736,290.1912,0
44,3,-465.40662,-94.49165,-85.160706,0
45,3,-676.2564,-79.45325,80.0185,0
46,3,-892.9143,-79.69309,-121.64496,0
47,3,-940.8791,-79.45325,216.17162,0
48,3,-1293.3768,-79.45325,381.7388,0
49,3,-897.20886,-79.45325,69.24578,0
50,3,-812.2871,-101.81201,705.2318,0
51,3,-809.0969,-101.81201,493.66904,0
52,3,-1372.2458,-28.658234,1019.3151,0
53,3,-1497.1661,-28.658234,909.38086,0
54,3,-1525.0032,-28.658234,1112.8171,0
55,3,-924.8065,-101.81201,568.903,0
56,3,-256.89902,-157.53676,729.30566,0
57,3,-506.63074,-120.29582,646.6237,0
58,3,575.72565,-103.90739,465.80286,0
59,3,893.598,-56.00409,381.27762,0
60,3,1043.1455,-56.00409,217.94273,0
61,3,891.1687,-56.00409,9.923798,0
62,3,798.25433,-56.00409,-261.22473,0
63,3,613.3364,-56.00409,-322.89157,0
64,3,673.5673,-56.00409,-528.886,0
65,3,955.8542,-56.00409,-555.817,0
66,3,556.53265,-56.00409,-493.55066,0
67,3,900.6935,-56.00409,145.43863,0
68,3,1149.7441,-56.00409,381.09772,0
69,3,55.591385,-135.17798,-678.2935,0
70,3,-100.08468,-135.17798,-860.739,0
71,4,-1458.4435,-79.45325,307.43387,0
72,4,-1374.4163,-79.45325,399.97705,0
73,4,-1310.7546,-79.45325,296.27905,0
74,4,-822.3701,-101.81201,636.96436,0
75,4,-837.35913,-101.81201,527.92175,0
76,4,-690.9717,-101.81201,605.06726,0
77,4,11.767616,-157.53677,543.0427,0
78,4,1.361042,-157.53677,465.96506,0
79,4,-143.3764,-157.53676,691.5321,0
80,4,-20.699696,-135.17798,-310.42065,0
81,4,-205.99799,-135.17798,-423.71307,0
82,4,60.789066,-135.17798,-713.1709,0
83,4,631.8774,-56.00409,-450.71085,0
84,4,765.21466,-56.00409,-260.29666,0
85,4,906.81604,-56.00409,-464.83682,0
86,4,946.5447,-56.00409,240.84404,0
87,4,776.63,-56.00409,310.81506,0
88,4,926.0702,-56.00409,494.5372,0
89,4,721.7764,-90.88583,1130.1492,0
90,4,514.986,-90.88583,1172.7906,0
91,4,169.1904,-90.88583,1327.1952,0
92,4,-35.751453,-90.88583,1311.028,0
93,4,-117.1681,-90.88583,1502.8997,0
94,4,-26.250488,-90.88583,1539.0325,0
95,4,758.07733,-90.88583,896.18195,0
96,4,-1515.9565,-21.68773,-369.95996,0
97,4,-1512.9556,-21.10371,-234.34348,0
98,4,-1343.5831,-21.875183,-400.71478,0
99,4,-1322.0247,-21.738783,-243.54318,0
100,4,-1216.2354,-21.875183,-271.24286,0
101,5,209.55038,-61.196274,1970.0835,80
102,6,3.2349968,-135.17798,-1347.529,-85
103,7,1624.7865,-55.946014,358.75766,0
104,8,208.217,-61.196274,1970.1697,0
105,8,-1948.4598,-5.5808253,-295.0694,0
106,8,-2.7115023,-135.17798,-1345.6145,0
107,8,1630.5305,-55.946014,362.50446,0
110,10,-234,-157,597,0
111,11,168.52805,-157.53674,732.71246,0
112,12,485.21,-56.00409,-485.29675,0
113,13,54.486397,-157.53674,588.4359,-90
114,14,9.685913,-157.53674,961.8058,0
115,15,-1543.2728,-28.658234,995.25885,0
116,16,-183.95877,-157.53676,760.43054,0
117,16,48.361076,-157.53674,890.5236,0
118,16,34.964485,-157.53677,493.01083,0
119,16,893.33655,-56.00409,403.7431,0
120,16,867.4971,-56.00409,192.615,0
121,16,262.29083,-157.53674,593.72076,0
122,16,804.0233,-90.88583,915.62506,0
123,16,735.728,-90.88583,1078.743,0
124,16,18.532043,-90.88583,1534.6038,0
125,16,32.037117,-90.88583,1325.6339,0
126,16,-9.934395,-135.17798,-0.9981389,0
127,16,-209.89026,-135.17798,-175.2483,0
128,16,-90.50751,-135.17798,-591.40924,0
129,16,136.73843,-135.17798,-533.6776,0
130,16,-16.836826,-135.17798,-852.92194,0
131,16,-889.6754,-79.45325,45.382423,0
132,16,-636.84174,-79.45325,1.8961496,0
133,16,-1259.1326,-79.45325,272.91907,0
134,16,-815.9997,-101.81201,647.25104,0
135,16,-723.7529,-101.81201,485.67737,0
136,16,-1346.7478,-28.658234,1105.4409,0
137,16,-1414.8314,-28.658234,878.5668,0
138,16,-1543.2853,-21.55729,-316.23816,0
139,16,-1301.4335,-21.875183,-290.99014,0
140,16,547.35345,-56.00409,-476.36374,0
141,16,727.04144,-56.00409,-373.55737,0
142,16,935.82544,-56.00409,-532.52185,0
143,16,299.78986,-157.53674,817.1666,0
144,16,0.73267365,-135.17798,-345.29297,0
