ClassID,GenType,PosX,PosY,PosZ,Direction,AnchorRange
1,1,2224,133,1573,90,1
3,3,-1358,-5,-1360,1,0
4,4,1052.3514,134.3088,838.34644,0,0
6,6,1190.5378,134.3088,1054.5645,0,0
7,7,-568.39813,134.3088,488.61328,-90,0
8,8,-651.4182,134.3088,478.42456,-45,0
9,9,777.24225,54.1763,-647.75,180,0
10,10,358,25,1513,1,0
11,11,1878.7825,134.3088,856.3567,1,0
12,12,1902.0684,134.3088,604.4552,1,0
13,13,1502.1531,24.3135,1573.5583,0,0
14,13,1520.3374,24.3135,1502.0585,0,0
15,13,1691.7467,24.3135,1474.4979,0,0
16,13,1686.2554,24.3135,1547.9502,0,0
19,14,-409.0077,196.7332,1778.2317,-90,0
20,14,-601.8929,196.7332,1483.2081,-45,0
21,14,-99.319916,196.7332,1636.911,-125,0
22,14,-243.53271,196.7332,1387.9738,90,0
23,15,3588,211,1212,1,0
24,16,-654.2441,134.3088,330.71045,1,0
25,17,-420.97983,134.3088,409.58005,180,0
26,4,1264.847,134.3088,1015.0364,0,0
27,4,1023.8892,134.3088,1018.395,0,0
28,4,1450.3419,134.3088,913.85944,0,0
34,4,393.11484,24.3135,1493.8373,0,0
36,4,670.4385,24.3135,1476.974,0,0
37,4,447.30545,134.3088,1061.9211,0,0
38,4,353.52466,134.3088,891.7881,0,0
39,4,192.14935,134.3088,1138.5175,0,0
40,4,46.95866,134.3088,1007.3077,0,0
41,18,-590.2243,134.3088,-230.47626,0,0
42,18,-870.1729,134.3088,-301.3571,0,0
43,18,-884.2322,134.3088,-628.2513,0,0
44,18,-1825.2335,-4.5073,-1412.5355,0,0
45,18,-508.32495,134.3088,-662.9791,0,0
46,18,-435.4803,134.3088,-403.00565,0,0
47,18,-1656.562,57.8125,-461.45587,0,0
48,18,-1978.468,20.537832,-1085.7632,0,0
50,18,-1518.9231,-4.5073,-1399.2174,0,0
52,18,-1766.6768,57.8125,-643.5371,0,0
54,19,-403.00604,196.73315,1513.1069,0,0
65,18,-1718.368,-4.5073,-1320.6178,0,0
66,18,-693.5684,134.3088,-461.56735,0,0
67,20,-1864.2465,-4.5073,-1447.2103,0,0
68,20,-1701.5447,57.8125,-629.79016,0,0
69,20,-840.5555,134.3088,-612.2375,0,0
70,20,-524.0944,134.3088,-192.47665,0,0
71,20,-1224.4937,198.8387,1062.3534,0,0
72,20,-388.7921,196.7332,1559.0311,0,0
73,20,-576.18164,196.7327,996.75464,0,0
74,20,451.72418,134.3088,1010.1168,0,0
75,20,691.4995,24.3135,1578.2678,0,0
76,20,1591.0912,24.3135,1762.7856,0,0
77,20,1002.0593,134.3088,953.0031,0,0
78,20,2287.3005,202.10796,-207.69098,0,0
79,20,3345.662,210.8136,1020.3773,0,0
80,20,358.17004,54.1763,-911.3858,0,0
81,21,-512.59607,134.3088,369.826,0,0
82,21,2085.8667,134.3088,662.6268,0,0
83,21,2014.3105,134.3088,1064.0201,0,0
84,21,2379.178,134.3088,932.3711,0,0
85,21,2233.4424,134.3088,1357.7068,0,0
86,22,182.23999,54.1763,-882.6352,0,0
87,22,391.5454,54.1763,-897.25586,0,0
88,22,433.07312,54.176254,-772.89734,0,0
94,4,893.39813,134.30882,960.05347,0,0
98,22,425.763,54.176254,-614.1015,0,0
99,4,914.8243,24.313461,1626.5992,0,0
101,4,1166.2632,24.313461,1548.1012,0,0
102,23,2357.72,202.21,-360.43,0,0
103,22,330.46954,54.176254,-978.13617,0,0
104,22,520.0876,54.176254,-882.89417,0,0
105,24,28.586018,134.30882,-426.9399,0,0
106,24,62.19271,120.2776,-543.7301,0,0
107,24,-77.11155,134.30884,-501.08453,0,0
108,24,109.43639,54.176254,-886.91254,0,0
109,24,285.20264,54.176254,-823.5697,0,0
110,24,259.1131,54.176254,-978.1184,0,0
111,25,-608.9388,134.30884,-747.4728,0,0
112,25,-783.8598,134.30882,-765.5087,0,0
113,25,-847.48114,134.30882,-334.60788,0,0
114,25,-443.25418,134.30882,-281.00366,0,0
115,26,1762.4425,24.313461,1575.1677,0,0
116,26,1771.2046,24.313461,1747.3047,0,0
117,26,1589.8015,24.313461,1798.0105,0,0
118,26,1472.8325,24.313461,1855.7238,0,0
119,26,1488.3864,24.313461,1543.3766,0,0
120,26,1700.7242,24.313461,1497.5721,0,0
121,26,1537.104,24.313463,1486.023,0,0
122,26,1648.3966,24.313461,1578.1439,0,0
123,26,1591.8575,24.313461,1913.4758,0,0
124,26,1413.1979,24.313461,1720.6359,0,0
